Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
5176a245-afc0-56e3-975d-53f3aadc3cab,,ISO3166-1-116,País ISO 3166-1 116 - CAMBOYA,País ISO 3166-1 116 - CAMBOYA,CAMBOYA,Código numérico 116 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
ab36e91e-d108-5dbc-a501-c3a038bd8729,,ISO3166-1-120,País ISO 3166-1 120 - CAMERÚN,País ISO 3166-1 120 - CAMERÚN,CAMERÚN,Código numérico 120 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
fa216c52-67b2-5fdd-abe3-5c94367420e8,,ISO3166-1-124,País ISO 3166-1 124 - CANADÁ,País ISO 3166-1 124 - CANADÁ,CANADÁ,Código numérico 124 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
f4dbb298-34e6-55a7-ac30-31eb5574e9be,,ISO3166-1-132,País ISO 3166-1 132 - CABO VERDE,País ISO 3166-1 132 - CABO VERDE,CABO VERDE,Código numérico 132 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
cf884dc7-5d99-5b15-ab77-a73d52b1a963,,ISO3166-1-136,País ISO 3166-1 136 - ISLAS CAIMÁN,País ISO 3166-1 136 - ISLAS CAIMÁN,ISLAS CAIMÁN,Código numérico 136 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
0baa01f6-ca93-5d54-8f64-f2da69d16ee0,,ISO3166-1-140,País ISO 3166-1 140 - REPÚBLICA CENTRO-AFRICANA,País ISO 3166-1 140 - REPÚBLICA CENTRO-AFRICANA,REPÚBLICA CENTRO-AFRICANA,Código numérico 140 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a7ff1a0f-b16c-57ff-941c-40e22cde9c8c,,ISO3166-1-144,País ISO 3166-1 144 - SRI LANKA,País ISO 3166-1 144 - SRI LANKA,SRI LANKA,Código numérico 144 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
edd2131f-afe8-5a25-b750-12e1341e579a,,ISO3166-1-148,País ISO 3166-1 148 - CHAD,País ISO 3166-1 148 - CHAD,CHAD,Código numérico 148 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a0ce3eb9-dec4-56d4-8056-25f902cfc409,,ISO3166-1-152,País ISO 3166-1 152 - CHILE,País ISO 3166-1 152 - CHILE,CHILE,Código numérico 152 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
34593d2a-ce05-5ac4-ae6a-b21cf74cdd52,,ISO3166-1-156,País ISO 3166-1 156 - CHINA,País ISO 3166-1 156 - CHINA,CHINA,Código numérico 156 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
690f85f4-ec09-5de0-a5a4-5fd466cfd44f,,ISO3166-1-158,País ISO 3166-1 158 - TAIWÁN,País ISO 3166-1 158 - TAIWÁN,TAIWÁN,Código numérico 158 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
